TIMESTAMP 0.0
# src dst bandwidth_mbps loss_rate
7 12 9.77 0.0038
7 13 9.19 0.0146
7 14 6.18 0.0071
7 15 9.75 0.0292
7 16 5.52 0.0191
7 17 6.05 0.0283
7 18 6.61 0.0066
7 19 9.01 0.0253
8 9 5.85 0.0003
8 10 9.55 0.0221
8 11 8.19 0.0085
8 12 8.43 0.0261
8 13 2.52 0.0083
8 14 3.8 0.0199
8 15 7.54 0.0159
8 16 9.2 0.0297
8 17 4.2 0.009
8 18 8.1 0.0112
8 19 7.98 0.0175
9 10 3.64 0.0213
9 11 7.52 0.0174
9 12 6.72 0.0016
9 13 5.46 0.0035
9 14 9.09 0.0104
9 15 4.42 0.0202
9 16 9.49 0.0114
9 17 7.37 0.01
9 18 4.18 0.0162
9 19 9.13 0.026
10 11 5.16 0.0028
10 12 9.95 0.0087
10 13 6.64 0.0073
10 14 7.7 0.0218
10 15 8.71 0.023
10 16 7.22 0.0048
10 17 5.34 0.0254
10 18 2.59 0.0147
10 19 2.14 0.0014
11 12 6.81 0.0108
11 13 5.11 0.024
11 14 5.64 0.0143
11 15 8.33 0.0182
11 16 8.66 0.0162
11 17 8.5 0.0177
11 18 6.96 0.0096
11 19 6.01 0.0216
12 13 2.57 0.0102
12 14 7.31 0.0077
12 15 5.86 0.03
12 16 5.44 0.0275
12 17 3.45 0.0149
12 18 6.16 0.0252
12 19 5.22 0.0166
13 14 5.33 0.0263
13 15 4.99 0.0117
13 16 5.74 0.028
13 17 3.19 0.0225
13 18 7.12 0.0172
13 19 4.17 0.0093
14 15 9.14 0.0203
14 16 3.41 0.0035
14 17 6.84 0.0149
14 18 4.18 0.0157
14 19 4.58 0.0135
15 16 2.58 0.0239
15 17 2.32 0.0032
15 18 2.51 0.0102
15 19 6.7 0.0054
16 17 9.5 0.0003
16 18 5.29 0.0126
16 19 3.48 0.012
17 18 6.44 0.0292
17 19 2.85 0.0288
18 19 2.99 0.0119
END

